0	简体中文
1	明彦
2	菁滋
3	昭光
4	昭夫
5	昭
6	葵
7	新
8	明日香
9	淳
10	步梦
11	千寻
12	大地
13	大辉
14	大辅
15	文仁
16	五郎
17	八郎
18	肇
19	半藏
20	阳
21	遥
22	晴辉
23	阳斗
24	飒
25	隼人
26	响
27	英明
28	秀树
29	秀良
30	一二三
31	光
32	日向
33	拓
34	旭
35	宽
36	大翔
37	一郎
38	勇
39	树
40	二郎
41	顺一
42	纯平
43	枫
44	海斗
45	薰
46	坚
47	胜
48	胜人
49	胜雄
50	胜郎
51	一辉
52	一男
53	一也
54	和幸
55	慧
56	健一
57	健二
58	谦信
59	健太
60	健太郎
61	谦三
62	吉郎
63	清
64	琥珀
65	浩司
66	康介
67	光希
68	康太
69	九郎
70	协
71	诚
72	雅彦
73	成美
74	正雄
75	政志
76	港
77	实
78	光昭
79	直
80	直树
81	秀夫
82	登
83	信
84	伸
85	信敏
86	信行
87	仪
88	宪明
89	修
90	莲
91	陆斗
92	凛
93	六郎
94	凉
95	良一
96	亮介
97	凉太
98	龙
99	龙二
100	龙之介
101	三郎
102	七郎
103	茂
104	真
105	真吾
106	真一
107	忍
108	伸介
109	真也
110	紫苑
111	诗织
112	四郎
113	翔
114	翔太
115	翔平
116	飒真
117	空
118	飒太
119	进
120	太一
121	贵太
122	宝
123	孝
124	武彦
125	武
126	拓真
127	匠
128	拓也
129	太郎
130	达也
131	哲也
132	智美
133	彻
134	俊明
135	翼
136	大和
137	赖
138	吉
139	芳惠
140	义郎
141	阳介
142	阳太
143	优
144	雄大
145	幸
146	优希
147	悠真
148	优太
149	优斗
150	女名
151	一二三
152	一子
153	七海
154	乃爱
155	久美子
156	亚由美
157	亚美
158	京子
159	信子
160	优
161	优子
162	优希
163	优花
164	优菜
165	光
166	光子
167	八重子
168	典子
169	冬子
170	凛
171	加奈子
172	千代
173	千代子
174	千佳
175	千夏
176	千寻
177	千枝
178	千香子
179	协
180	吉
181	和奏
182	和枝
183	和花
184	笑子
185	笑希
186	夏子
187	夏美
188	多美子
189	梦
190	孝子
191	安
192	宝
193	实
194	富子
195	宽子
196	小春
197	小百合
198	幸
199	幸子
200	幸枝
201	弓
202	弓子
203	彩乃
204	彩子
205	彩花
206	彩音
207	心
208	忍
209	怜奈
210	惠
211	惠美
212	惠麻
213	悠里
214	悦子
215	爱
216	爱子
217	爱梨
218	爱美
219	爱菜
220	慧
221	庆子
222	成美
223	敏子
224	日向
225	明日香
226	明美
227	明里
228	星
229	星子
230	春子
231	昭
232	晶
233	晶子
234	智子
235	智美
236	月子
237	柚希
238	栞菜
239	樱
240	樱子
241	梅
242	梅子
243	森子
244	椿
245	枫
246	沙也香
247	沙织
248	泉
249	淳
250	清子
251	温子
252	港
253	澄子
254	燕
255	琥珀
256	琴音
257	瑞希
258	由香
259	百合
260	百子
261	百花
262	益世
263	直
264	直子
265	直美
266	真优
267	真央
268	真弓
269	真珠
270	真理
271	真美
272	真里子
273	瞳
274	空
275	节子
276	紫苑
277	结爱
278	结菜
279	结衣
280	绫
281	绿
282	美优
283	美笑
284	美夜子
285	美奈子
286	美智子
287	美樱
288	美穗
289	美空
290	美纪
291	美羽
292	美香
293	翼
294	舞
295	良子
296	花
297	花子
298	花绘
299	花音
300	芳惠
301	芽依
302	茜
303	莉央
304	莉奈
305	莉子
306	菊
307	菖蒲
308	菜菜子
309	菜奈
310	菜月
311	华莲
312	萌
313	葵
314	莲
315	薰
316	兰
317	萤
318	蝶
319	诗织
320	诚
321	贵美子
322	道
323	遥
324	遥菜
325	里美
326	铃
327	阳
328	阳子
329	阳菜
330	雀
331	雅子
332	霞
333	静夏
334	响
335	顺子
336	香
337	骏
338	麻美
339	惠美
